SMOX,SPTA1
UBE2O,SPTA1
RPIA,SPTA1
GCLC,SPTA1
SLC30A1,SPTA1
TSPO2,SPTA1
ACKR1,SPTA1
TFDP2,SPTA1
DCUN1D1,CDC27
XPO7,CDC27
RAD23A,CDC27
DNAJC9,CDC27
HDGF,CDC27
PSMD9,CDC27
AHSP,CDC27
ANK1,CDC27
CA2,CDC27
HBQ1,CDC27
HMBS,CDC27
PPOX,CDC27
RHAG,CDC27
BLVRB,CDC27
DCAF11,CDC27
GLRX5,CDC27
GYPC,CDC27
TAL1,CDC27
ALAD,CDC27
ALAS2,CDC27
EIF1AY,CDC27
EIF2AK1,CDC27
EPB42,CDC27
ERMAP,CDC27
FECH,CDC27
GYPB,CDC27
GYPE,CDC27
MAP2K3,CDC27
RHCE,CDC27
SELENBP1,CDC27
SLC4A1,CDC27
SPTA1,CDC27
TRIM10,CDC27
TRAK2,CDC27
BNIP3L,CDC27
CDC27,CDC27
SLC22A4,CDC27
CROCCP2,CDC27
FBXO7,CDC27
UROD,CDC27
SPTB,CDC27
NUDT4,CDC27
GYPA,CDC27
CTSE,CDC27
KLF1,CDC27
XK,CDC27
GCLM,CDC27
MINPP1,CDC27
NARF,CDC27
UBAC1,CDC27
TFDP1,CDC27
MARK3,CDC27
RPIA,CDC27
GCLC,CDC27
RBX1,CDC27
TOP1,CDC27
RBM38,CDC27
RCL1,CDC27
TFRC,CDC27
HTRA2,CDC27
XPO7,KAT2B
AHSP,KAT2B
ANK1,KAT2B
CA2,KAT2B
HBQ1,KAT2B
HMBS,KAT2B
PPOX,KAT2B
RHAG,KAT2B
ALAD,KAT2B
ALAS2,KAT2B
EIF1AY,KAT2B
EIF2AK1,KAT2B
EPB42,KAT2B
ERMAP,KAT2B
FECH,KAT2B
GYPB,KAT2B
GYPE,KAT2B
MAP2K3,KAT2B
RHCE,KAT2B
SELENBP1,KAT2B
SLC4A1,KAT2B
SPTA1,KAT2B
TRIM10,KAT2B
TRAK2,KAT2B
CROCCP2,KAT2B
CLIC2,KAT2B
MARCH8,KAT2B
RHD,KAT2B
TSPAN5,KAT2B
SPTB,KAT2B
GYPA,KAT2B
KAT2B,KAT2B
FBXO9,KAT2B
MARK3,KAT2B
LPIN2,KAT2B
TSPO2,KAT2B
ADD2,PRDX2
HDGF,PRDX2
AHSP,PRDX2
ANK1,PRDX2
CA2,PRDX2
HBQ1,PRDX2
HMBS,PRDX2
PPOX,PRDX2
RHAG,PRDX2
BLVRB,PRDX2
DCAF11,PRDX2
GLRX5,PRDX2
GYPC,PRDX2
TAL1,PRDX2
ALAD,PRDX2
UROD,PRDX2
SPTB,PRDX2
CA1,PRDX2
GATA1,PRDX2
HBD,PRDX2
KEL,PRDX2
HEBP1,PRDX2
PRDX2,PRDX2
CTSE,PRDX2
KLF1,PRDX2
XK,PRDX2
GCLM,PRDX2
MINPP1,PRDX2
UBAC1,PRDX2
TFRC,PRDX2
AMMECR1,PRDX2
ALDH4A1,AATF
PREP,AATF
AIMP2,AATF
ICE1,AATF
AATF,AATF
NUP188,AATF
DNAJC8,AATF
POLR2A,AATF
BRD8,AATF
NAP1L4,AATF
CDK2,AATF
PIN1,AATF
SEPT7,AATF
AFG3L2,AATF
XPO7,AATF
CS,AATF
TCEA1,AATF
EIF3I,AATF
LSM2,AATF
RUVBL2,AATF
HDAC2,AATF
HNRNPA2B1,AATF
LRPPRC,AATF
ANAPC5,AATF
DDX39A,AATF
EIF1AX,AATF
XPO1,AATF
HNRNPD,AATF
SRRM1,AATF
XRCC5,AATF
CAPZA1,AATF
CTDNEP1,AATF
GPAA1,AATF
ILF2,AATF
KHDRBS1,AATF
NONO,AATF
YWHAQ,AATF
SNRNP200,AATF
SUMO2,AATF
TIAL1,AATF
PABPN1,AATF
SSB,AATF
HNRNPU,AATF
PRPF8,AATF
TEX261,AATF
PTDSS1,AATF
BAZ1B,AATF
NUDC,AATF
IARS,AATF
HADH,AATF
PABPC4,AATF
GTF2A2,AATF
PRKDC,AATF
IMMT,AATF
VDAC3,AATF
DNAJC11,AATF
EPRS,AATF
POM121,AATF
SAFB,AATF
NAE1,AATF
SSRP1,AATF
TRRAP,AATF
AHSA1,AATF
SSBP1,AATF
GPN1,AATF
BUB3,AATF
VDAC2,AATF
RAD23A,AATF
ATXN10,AATF
SNRPA,AATF
TUFM,AATF
FUS,AATF
PRPF31,AATF
FIBP,AATF
MCM5,AATF
USP1,AATF
ACLY,AATF
CSK,AATF
THOP1,AATF
DDX49,AATF
EIF3K,AATF
PHB2,AATF
PSMB7,AATF
UBE2L3,AATF
CCT2,AATF
SET,AATF
DEK,AATF
EIF4H,AATF
POLE3,AATF
NCL,AATF
HNRNPC,AATF
RALY,AATF
CALM2,AATF
EIF3M,AATF
RNPS1,AATF
IDH3B,AATF
UBE2I,AATF
CANX,AATF
HADHB,AATF
LYPLA1,AATF
MDH1,AATF
TRAPPC3,AATF
STARD7,AATF
COPS5,AATF
CYC1,AATF
DRG1,AATF
PUF60,AATF
MRPL9,AATF
HNRNPAB,AATF
POLR2I,AATF
COPS6,AATF
HUWE1,AATF
DAP3,AATF
RPN1,AATF
PUM2,AATF
SMARCC2,AATF
ETF1,AATF
CUL1,AATF
PPP2CA,AATF
LSM7,AATF
IK,AATF
ZNHIT3,AATF
CASC3,AATF
ARFGAP2,AATF
DHX38,AATF
OXA1L,AATF
ZC3H15,AATF
PSMB3,AATF
CLNS1A,AATF
SERBP1,AATF
PSMB6,AATF
METAP1,AATF
ZZZ3,AATF
HSPA8,AATF
SDHA,AATF
SART3,AATF
POP5,AATF
ACTL6A,AATF
CEBPZ,AATF
AGPAT1,AATF
PHB,AATF
NELFB,AATF
DDB1,AATF
MTX1,AATF
SFSWAP,AATF
MFN2,AATF
PRKAG1,AATF
TERF2IP,AATF
SRRT,AATF
TP53BP1,AATF
EIF2B5,AATF
GLUD1,AATF
ALG3,AATF
SCARB1,AATF
ARIH2,AATF
TXLNA,AATF
ZPR1,AATF
CAD,AATF
CCT4,AATF
VARS,AATF
COQ9,AATF
MLEC,AATF
BMS1,AATF
GNL2,AATF
TFAP4,AATF
PSMD3,AATF
MMS19,AATF
SGTA,AATF
IDH3A,AATF
RUVBL1,AATF
EBP,AATF
EIF6,AATF
ESYT1,AATF
USP5,AATF
PSMD2,AATF
WDR18,AATF
KAT2A,AATF
PDE6D,AATF
NHP2L1,AATF
KDM3B,AATF
NUP62,AATF
XPO6,AATF
PWP1,AATF
ASH2L,AATF
SUMO4,AATF
CNOT1,AATF
DYRK2,AATF
POLR2C,AATF
SERP1,AATF
SMNDC1,AATF
CLSTN1,AATF
MTOR,AATF
ADSL,AATF
MCM2,AATF
CNPPD1,AATF
PRKCSH,AATF
NUDT3,AATF
CNP,AATF
PKMYT1,AATF
TCOF1,AATF
RPA2,AATF
ZBED1,AATF
DDX18,AATF
TIMM17A,AATF
CAPRIN1,AATF
ALDH4A1,RPA2
CELA2A,RPA2
ARL6IP1,RPA2
DCAF7,RPA2
LANCL1,RPA2
AATF,RPA2
NUP188,RPA2
DNAJC8,RPA2
POLR2A,RPA2
BRD8,RPA2
NAP1L4,RPA2
CDK2,RPA2
SEPT7,RPA2
AFG3L2,RPA2
XPO7,RPA2
CS,RPA2
TCEA1,RPA2
EIF3I,RPA2
HDAC2,RPA2
HNRNPA2B1,RPA2
LRPPRC,RPA2
EIF1AX,RPA2
XPO1,RPA2
HNRNPD,RPA2
SRRM1,RPA2
CAPZA1,RPA2
CTDNEP1,RPA2
GPAA1,RPA2
ILF2,RPA2
KHDRBS1,RPA2
NONO,RPA2
YWHAQ,RPA2
SNRNP200,RPA2
SUMO2,RPA2
PABPN1,RPA2
PRPF8,RPA2
TEX261,RPA2
GTF2A2,RPA2
PRKDC,RPA2
IMMT,RPA2
VDAC3,RPA2
EIF2S2,RPA2
RAD54L,RPA2
BUB3,RPA2
PRPF31,RPA2
AP3S1,RPA2
TMED9,RPA2
CSK,RPA2
DIAPH1,RPA2
PPIE,RPA2
SREBF2,RPA2
THOP1,RPA2
POLA2,RPA2
PPIF,RPA2
DDX49,RPA2
PHB2,RPA2
NUDT1,RPA2
PCMT1,RPA2
CALM2,RPA2
PGK1,RPA2
EIF3M,RPA2
DRG1,RPA2
MRPL9,RPA2
COPS6,RPA2
BMI1,RPA2
PDXDC2P,RPA2
ZNF131,RPA2
RPN1,RPA2
SMARCC2,RPA2
SMARCC1,RPA2
LDHA,RPA2
ZC3H15,RPA2
PSMA1,RPA2
MAP3K11,RPA2
MEN1,RPA2
METAP1,RPA2
PROSC,RPA2
ZMYM4,RPA2
ABL1,RPA2
OGDH,RPA2
TSFM,RPA2
E2F4,RPA2
EPAS1,RPA2
GRB2,RPA2
PMS2P3,RPA2
DEXI,RPA2
PARP2,RPA2
RPS6KA3,RPA2
AGPAT1,RPA2
PHB,RPA2
NELFB,RPA2
DDB1,RPA2
PARN,RPA2
RPRD2,RPA2
MTX1,RPA2
PLIN3,RPA2
SFSWAP,RPA2
MFN2,RPA2
PRKAG1,RPA2
OTUB1,RPA2
CDC25C,RPA2
HMGN4,RPA2
ARIH2,RPA2
TXLNA,RPA2
ZPR1,RPA2
CAD,RPA2
CCT4,RPA2
VARS,RPA2
COQ9,RPA2
MLEC,RPA2
IFRD2,RPA2
EBP,RPA2
EIF6,RPA2
ESYT1,RPA2
USP5,RPA2
PSMD2,RPA2
WDR18,RPA2
PDE6D,RPA2
ELK1,RPA2
KDM3B,RPA2
NUP62,RPA2
XPO6,RPA2
PWP1,RPA2
ASH2L,RPA2
SUMO4,RPA2
CNOT1,RPA2
DYRK2,RPA2
ATXN2L,RPA2
SERP1,RPA2
SMNDC1,RPA2
CLSTN1,RPA2
VAMP3,RPA2
ADSL,RPA2
MCM2,RPA2
CRYBA4,RPA2
FANCG,RPA2
FDXR,RPA2
NFRKB,RPA2
HNRNPL,RPA2
AP3B1,RPA2
CSNK2A1,RPA2
GTF2H3,RPA2
