probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1792075,ILMN_1743620,-0.041,0.086,CD22,RARRES1,-1,0.231,0.278,0.391,0.372,19,3,40529826,159911389,NA,trans,1.50E-08
ILMN_1798177,ILMN_1693401,-0.047,0.048,CHURC1,KLHL28,-0.779,0.18,0.999,0.25,0.219,14,14,64471249,45398316,19072933,cis,1.51E-08
ILMN_1676528,ILMN_1753164,0.047,0.049,BTN3A2,IPO8,0.411,0.095,0.999,0.999,0.095,6,12,26378113,30782258,NA,trans,1.52E-08
ILMN_1720059,ILMN_2067682,-0.018,0.446,HMBOX1,LOC401431,-0.761,0.176,0.999,0.255,0.221,8,7,28965044,149195971,NA,trans,1.53E-08
ILMN_1742230,ILMN_2096759,-0.056,0.018,BAZ1A,PSMC6,-0.955,0.221,0.34,0.331,0.352,14,14,35222191,52264011,17041820,cis,1.55E-08
ILMN_1723846,ILMN_1758548,0.048,0.043,FAM119B,NEK7,0.501,0.116,0.999,0.354,0.164,12,1,56462454,196555203,NA,trans,1.57E-08
ILMN_1659227,ILMN_1669497,0.596,0,CD79A,OSBPL10,0.911,0.211,0.315,0.31,0.161,19,3,42383286,31718961,NA,trans,1.58E-08
ILMN_1718266,ILMN_2209115,-0.053,0.028,DGKI,MAK,-1,0.232,0.384,0.318,0.347,7,6,137074852,10871282,NA,trans,1.63E-08
ILMN_1723116,ILMN_2307025,0.003,0.909,AMFR,CPNE1,-0.431,0.1,0.999,0.999,0.099,16,20,56395777,34214540,NA,trans,1.63E-08
ILMN_1713124,ILMN_1676924,0.443,0,AKR1C3,CD247,0.749,0.174,0.475,0.668,0.118,10,1,5137829,165666606,NA,trans,1.67E-08
ILMN_1743145,ILMN_1735712,0.014,0.559,ERAP2,KRT1,-0.413,0.096,0.999,0.751,0.114,5,12,96274820,53068865,NA,trans,1.69E-08
ILMN_1715169,ILMN_2391419,-0.001,0.971,HLA-DRB1,SYNE2,0.464,0.108,0.816,0.588,0.144,6,14,32654825,63762375,NA,trans,1.74E-08
ILMN_1790534,ILMN_1786328,0.483,0,MAP2K3,WDR40A,1,0.233,0.459,0.356,0.164,17,9,21159049,34076700,NA,trans,1.77E-08
ILMN_1844925,ILMN_1762103,-0.029,0.232,HS.583730,WDR48,-0.678,0.158,0.361,0.999,0.177,8,3,67214097,39111969,NA,trans,1.78E-08
ILMN_1740633,ILMN_1742026,0.59,0,PRF1,PYHIN1,0.853,0.199,0.287,0.378,0.154,10,1,72357383,157181319,NA,trans,1.82E-08
ILMN_1663119,ILMN_1723467,0.119,0,DSC2,ITGB1,0.985,0.23,0.256,0.434,0.335,18,10,26900109,33229489,NA,trans,1.85E-08
ILMN_1798177,ILMN_2122952,-0.02,0.411,CHURC1,CISD1,0.415,0.097,0.999,0.629,0.125,14,10,64471249,59707034,NA,trans,1.88E-08
ILMN_1874689,ILMN_1669833,-0.095,0,HS.554507,SH2B2,-0.911,0.213,0.313,0.472,0.288,9,7,126462570,101747579,NA,trans,1.89E-08
ILMN_2352563,ILMN_1853631,-0.089,0,CLDND1,HS.551137,-1,0.234,0.251,0.274,0.444,3,9,99717285,99703792,NA,trans,1.92E-08
ILMN_1708041,ILMN_2395981,0.613,0,PLEKHF1,PYHIN1,1,0.234,0.334,0.302,0.156,19,1,30166200,157181386,NA,trans,1.92E-08
ILMN_1757636,ILMN_1700652,0.037,0.124,C5ORF35,CHAD,0.512,0.12,0.999,0.331,0.171,5,17,56210793,48541947,NA,trans,1.98E-08
ILMN_1815306,ILMN_1806349,0.329,0,AP2A1,SLC6A8,1,0.235,0.516,0.261,0.234,19,X,50310094,152614922,NA,trans,2.09E-08
ILMN_1758728,ILMN_1773313,0.005,0.837,FANCG,USMG5,-0.434,0.102,0.561,0.999,0.132,9,10,35073949,105154019,NA,trans,2.09E-08
ILMN_1687213,ILMN_1745686,0.059,0.014,C8ORF13,MFHAS1,0.909,0.214,0.911,0.339,0.207,8,8,11316511,8785016,2531495,cis,2.16E-08
ILMN_1672113,ILMN_2402629,0.053,0.027,LOC441249,METTL9,0.933,0.22,0.272,0.352,0.379,7,16,67391004,21575541,NA,trans,2.23E-08
ILMN_2214278,ILMN_1755975,-0.006,0.81,ANKRD32,LOC646946,-0.657,0.155,0.926,0.311,0.201,5,5,94057160,45833311,48223849,cis,2.25E-08
ILMN_1745116,ILMN_2118663,0.049,0.041,ABHD12,ERV3,0.428,0.101,0.809,0.999,0.106,20,7,25287490,64089138,NA,trans,2.26E-08
ILMN_2376133,ILMN_1814156,-0.227,0,KIAA1191,PSMB7,-1,0.236,0.425,0.273,0.29,5,9,175773149,127115986,NA,trans,2.26E-08
ILMN_1745103,ILMN_1702120,0.369,0,CLEC1B,NDUFAF3,1,0.236,0.418,0.293,0.231,12,3,10147744,49032930,NA,trans,2.26E-08
ILMN_1754501,ILMN_2374692,-0.01,0.667,LOC339804,WAC,-0.415,0.098,0.944,0.787,0.113,2,10,61243769,28949297,NA,trans,2.29E-08
ILMN_1721762,ILMN_2341815,-0.009,0.699,IL18RAP,TFG,0.419,0.099,0.999,0.933,0.102,2,3,102435293,100467642,NA,trans,2.31E-08
ILMN_1742230,ILMN_2376133,0.163,0,BAZ1A,KIAA1191,0.934,0.221,0.34,0.425,0.272,14,5,35222191,175773149,NA,trans,2.38E-08
ILMN_1716276,ILMN_1823231,0.475,0,CCL4L2,HS.571502,0.841,0.199,0.265,0.468,0.181,17,8,31664916,60195858,NA,trans,2.38E-08
ILMN_1737195,ILMN_1797893,0.024,0.315,CENPK,PFAAP5,-0.414,0.098,0.999,0.948,0.102,5,13,64853096,31989252,NA,trans,2.39E-08
ILMN_1671171,ILMN_2162972,0.024,0.309,CECR2,LYZ,0.57,0.135,0.455,0.911,0.158,22,12,16412831,68033815,NA,trans,2.42E-08
ILMN_1739756,ILMN_2055781,0.495,0,KIR2DL4,KLRF1,0.889,0.211,0.371,0.507,0.143,19,12,67964,9888803,NA,trans,2.52E-08
ILMN_2371470,ILMN_2144088,0.01,0.69,C1ORF124,FDFT1,-0.476,0.113,0.447,0.999,0.151,1,8,229555436,11696361,NA,trans,2.53E-08
ILMN_1679919,ILMN_2216582,0.535,0,ASCC2,LYL1,0.799,0.19,0.467,0.383,0.135,22,19,30184657,13074680,NA,trans,2.61E-08
ILMN_1732296,ILMN_1793549,-0.416,0,ID3,PTPN4,-0.958,0.228,0.271,0.375,0.23,1,2,23757369,120451383,NA,trans,2.65E-08
ILMN_2383306,ILMN_1701441,-0.053,0.026,GPATCH4,LPAR1,-0.521,0.124,0.999,0.488,0.14,1,9,156564614,113636115,NA,trans,2.65E-08
ILMN_1698243,ILMN_1723467,0.035,0.146,C1ORF85,ITGB1,-0.705,0.168,0.76,0.434,0.199,1,10,156262580,33229489,NA,trans,2.71E-08
ILMN_1661432,ILMN_1736548,-0.002,0.922,NUP43,PHACTR4,0.407,0.097,0.918,0.697,0.122,6,1,150087211,28699120,NA,trans,2.72E-08
ILMN_1778536,ILMN_1691071,0.529,0,BTLA,FCRLA,0.822,0.196,0.354,0.394,0.154,3,1,113672763,159950596,NA,trans,2.74E-08
ILMN_1656868,ILMN_2147105,0.334,0,LOC23117,LOC440348,0.889,0.212,0.427,0.501,0.175,16,16,21321256,72982993,51661737,cis,2.75E-08
ILMN_1732296,ILMN_1740633,-0.448,0,ID3,PRF1,-1,0.239,0.271,0.287,0.253,1,10,23757369,72357383,NA,trans,2.86E-08
ILMN_1659227,ILMN_1785175,0.54,0,CD79A,SWAP70,1,0.239,0.315,0.295,0.193,19,11,42383286,9729342,NA,trans,2.86E-08
ILMN_2325574,ILMN_1805590,0.021,0.383,CASC4,LSM8,0.928,0.222,0.354,0.465,0.298,15,7,42493788,117619757,NA,trans,2.91E-08
ILMN_1743032,ILMN_1774604,0.184,0,CTSS,PNKD,1,0.24,0.658,0.645,0.16,1,2,150702910,218919403,NA,trans,3.09E-08
ILMN_1715963,ILMN_1669286,0.411,0,FBXO7,YWHAZ,0.929,0.223,0.431,0.385,0.179,22,8,31201300,102034678,NA,trans,3.10E-08
ILMN_1719064,ILMN_1800733,0.003,0.908,KCTD10,MANBA,-0.403,0.097,0.999,0.775,0.111,12,4,109886624,103771985,NA,trans,3.26E-08
ILMN_1757636,ILMN_1749368,-0.055,0.021,C5ORF35,HIST1H3H,-0.648,0.156,0.999,0.267,0.198,5,6,56210793,27777958,NA,trans,3.27E-08
ILMN_1743032,ILMN_2395981,-0.099,0,CTSS,PYHIN1,-1,0.241,0.658,0.302,0.259,1,1,150702910,157181386,6478476,cis,3.33E-08
ILMN_1723116,ILMN_2304020,-0.044,0.063,AMFR,GRXCR2,-0.626,0.151,0.999,0.304,0.186,16,5,56395777,145239307,NA,trans,3.39E-08
ILMN_1670841,ILMN_1866954,0.026,0.271,CPNE1,HS.71947,-0.501,0.121,0.966,0.437,0.159,20,6,34214120,83136909,NA,trans,3.47E-08
ILMN_1790978,ILMN_2180866,0.021,0.381,ATG7,RPS26P11,0.732,0.177,0.376,0.929,0.186,3,X,11571483,71181176,NA,trans,3.54E-08
ILMN_2055781,ILMN_1792389,0.564,0,KLRF1,RNF165,0.763,0.185,0.507,0.349,0.13,12,18,9888803,42294242,NA,trans,3.72E-08
ILMN_1881081,ILMN_1736303,0.034,0.161,HS.571151,KCNV1,-0.947,0.23,0.747,0.283,0.28,6,8,26335216,111048766,NA,trans,3.83E-08
ILMN_1671565,ILMN_1707585,-0.033,0.169,RNASET2,SLC46A2,-0.601,0.146,0.999,0.312,0.184,6,9,167263060,114681119,NA,trans,3.85E-08
ILMN_1722492,ILMN_1815205,-0.34,0,DUSP19,LYZ,-0.917,0.223,0.367,0.921,0.14,2,12,183672674,68032310,NA,trans,3.92E-08
ILMN_2171596,ILMN_2162972,-0.05,0.037,LOC441257,LYZ,-0.74,0.18,0.343,0.911,0.192,7,12,72134243,68033815,NA,trans,3.94E-08
ILMN_1659075,ILMN_1857017,0.25,0,HLA-DOA,HS.551538,0.986,0.24,0.252,0.306,0.343,6,7,33080184,2258027,NA,trans,3.99E-08
ILMN_1734707,ILMN_1721339,-0.022,0.358,CHST13,ZNF276,0.558,0.136,0.999,0.281,0.199,3,16,126262040,88333486,NA,trans,4.08E-08
ILMN_2118663,ILMN_2162972,-0.021,0.378,ERV3,LYZ,-0.402,0.098,0.999,0.911,0.101,7,12,64089138,68033815,NA,trans,4.10E-08
ILMN_1661646,ILMN_1691071,0.699,0,BANK1,FCRLA,0.738,0.18,0.28,0.394,0.132,4,1,103214492,159950596,NA,trans,4.13E-08
ILMN_1715169,ILMN_1682717,-0.096,0,HLA-DRB1,IER3,-0.663,0.162,0.816,0.588,0.143,6,6,32654825,30819173,1835652,cis,4.27E-08
ILMN_2376133,ILMN_2209027,0.02,0.415,KIAA1191,RPS26,0.597,0.146,0.425,0.946,0.163,5,12,175773149,54722494,NA,trans,4.33E-08
ILMN_1665457,ILMN_1773313,0.039,0.102,CLEC4C,USMG5,0.425,0.104,0.477,0.999,0.138,12,10,7898956,105154019,NA,trans,4.38E-08
ILMN_1784207,ILMN_1786328,0.604,0,C1ORF128,WDR40A,0.829,0.203,0.289,0.356,0.154,1,9,23986959,34076700,NA,trans,4.43E-08
ILMN_1713124,ILMN_1740633,0.54,0,AKR1C3,PRF1,0.93,0.228,0.475,0.287,0.155,10,10,5137829,72357383,67219554,cis,4.52E-08
ILMN_1704985,ILMN_1654001,-0.017,0.487,CYP27A1,SMC6,-0.391,0.096,0.999,0.832,0.105,2,2,219387910,17708749,201679161,cis,4.64E-08
ILMN_1671142,ILMN_2079655,0.238,0,GPR68,KLRB1,0.984,0.242,0.306,0.378,0.284,14,12,91699107,9751108,NA,trans,4.78E-08
ILMN_2230035,ILMN_1767612,0.462,0,BBS2,BBS2,1,0.246,0.485,0.624,0.125,16,16,55076072,55076248,176,cis,4.80E-08
ILMN_1667232,ILMN_2082593,0.685,0,KIR2DL3,KIR3DL3,0.762,0.188,0.308,0.31,0.142,19,19,55264353,59939601,4675248,cis,5.05E-08
ILMN_1743032,ILMN_1805992,0.168,0,CTSS,KIAA1598,0.583,0.144,0.658,0.89,0.117,1,10,150702910,118634571,NA,trans,5.15E-08
ILMN_1782788,ILMN_1671686,0.376,0,CSDA,EPB49,1,0.247,0.36,0.258,0.262,12,8,10743268,21995783,NA,trans,5.15E-08
ILMN_1798177,ILMN_1745703,-0.049,0.042,CHURC1,CORO2A,-0.643,0.159,0.999,0.255,0.204,14,9,64471249,99974773,NA,trans,5.25E-08
ILMN_1734707,ILMN_1684628,0.01,0.682,CHST13,ZFP90,0.4,0.099,0.999,0.788,0.109,3,16,126262040,67158424,NA,trans,5.34E-08
ILMN_1715169,ILMN_1714438,-0.029,0.229,HLA-DRB1,MUTYH,-0.939,0.233,0.816,0.274,0.255,6,1,32654825,45795061,NA,trans,5.58E-08
ILMN_1796165,ILMN_1786328,0.647,0,GLRX5,WDR40A,0.81,0.201,0.258,0.356,0.15,14,9,95080536,34076700,NA,trans,5.58E-08
ILMN_2165289,ILMN_1705183,0.663,0,DEFA3,MPO,0.729,0.181,0.263,0.454,0.136,8,17,6875765,56347641,NA,trans,5.63E-08
ILMN_2094396,ILMN_2113535,0.065,0.007,LRRC8C,PCYOX1,0.812,0.202,0.792,0.399,0.194,1,2,89952665,70360269,NA,trans,5.82E-08
ILMN_1737195,ILMN_1721762,0.006,0.809,CENPK,IL18RAP,-0.414,0.103,0.999,0.999,0.098,5,2,64853096,102435293,NA,trans,5.83E-08
ILMN_1752451,ILMN_1773313,0.002,0.945,CTSH,USMG5,0.418,0.104,0.279,0.999,0.185,15,10,79214370,105154019,NA,trans,5.84E-08
ILMN_1788462,ILMN_1702396,0.19,0,AMD1,PACSIN2,0.988,0.246,0.351,0.332,0.301,6,22,111216560,41595886,NA,trans,5.91E-08
ILMN_1691071,ILMN_1776939,0.45,0,FCRLA,MS4A1,0.988,0.246,0.394,0.397,0.177,1,11,159950596,59986333,NA,trans,5.91E-08
ILMN_1716276,ILMN_1708041,0.591,0,CCL4L2,PLEKHF1,1,0.249,0.265,0.334,0.176,17,19,31664916,30166200,NA,trans,5.92E-08
ILMN_1806692,ILMN_2367215,0.232,0,HEXB,PRCP,0.95,0.237,0.439,0.306,0.262,5,11,74052085,82535584,NA,trans,6.11E-08
ILMN_2365091,ILMN_1777061,-0.146,0,FCAR,ZSWIM6,-0.977,0.244,0.31,0.309,0.349,19,5,60077542,60877457,NA,trans,6.23E-08
ILMN_1721762,ILMN_1671565,-0.034,0.154,IL18RAP,RNASET2,-0.408,0.102,0.999,0.999,0.096,2,6,102435293,167263060,NA,trans,6.33E-08
ILMN_1796832,ILMN_2336133,0.004,0.871,MGC22014,SULT1A4,-1,0.25,0.355,0.715,0.255,2,16,74125278,29382990,NA,trans,6.33E-08
ILMN_1874689,ILMN_1701237,0.486,0,HS.554507,SH2D1B,0.842,0.211,0.313,0.551,0.15,9,1,126462570,162365598,NA,trans,6.59E-08
ILMN_1659227,ILMN_1748123,0.423,0,CD79A,KLHL14,0.786,0.197,0.315,0.481,0.177,19,18,42383286,30253138,NA,trans,6.61E-08
ILMN_1797893,ILMN_2304495,0.04,0.091,PFAAP5,PPP1R1B,0.59,0.148,0.948,0.416,0.161,13,17,31989252,35046082,NA,trans,6.71E-08
ILMN_1778536,ILMN_1669881,0.409,0,BTLA,TSPAN13,0.817,0.205,0.354,0.342,0.203,3,7,113672763,16789855,NA,trans,6.74E-08
ILMN_1806056,ILMN_1751625,0.595,0,CEACAM8,MS4A3,1,0.251,0.252,0.273,0.198,19,11,47776394,59586547,NA,trans,6.77E-08
ILMN_1753745,ILMN_1855198,0.047,0.049,HDDC2,HS.334275,0.98,0.246,0.44,0.304,0.33,6,11,125638766,96635746,NA,trans,6.78E-08
ILMN_1794364,ILMN_1708041,0.542,0,CTSW,PLEKHF1,0.733,0.184,0.53,0.334,0.136,11,19,65407708,30166200,NA,trans,6.79E-08
ILMN_1751956,ILMN_2310703,0.057,0.018,MGST3,RPS26L,0.525,0.132,0.549,0.924,0.137,1,13,163887894,99990206,NA,trans,6.97E-08
ILMN_2399174,ILMN_1809433,-0.167,0,TRAK1,XBP1,-1,0.252,0.371,0.33,0.304,3,22,42217457,27520966,NA,trans,7.24E-08
ILMN_1800354,ILMN_1805992,0.374,0,CST3,KIAA1598,0.599,0.151,0.54,0.89,0.105,20,10,23614554,118634571,NA,trans,7.28E-08
ILMN_1810274,ILMN_1806320,0.031,0.199,HOXB2,PPFIBP1,0.801,0.202,0.999,0.286,0.21,17,12,46620338,27679157,NA,trans,7.33E-08
ILMN_1796335,ILMN_1800253,-0.075,0.002,LPCAT2,ZNF711,-0.836,0.211,0.954,0.346,0.19,16,X,54174433,84414505,NA,trans,7.43E-08
ILMN_2214278,ILMN_1722276,-0.017,0.487,ANKRD32,PAFAH1B1,0.808,0.204,0.926,0.276,0.234,5,17,94057160,2535219,NA,trans,7.47E-08
ILMN_1732296,ILMN_2055781,-0.337,0,ID3,KLRF1,-1,0.253,0.271,0.507,0.229,1,12,23757369,9888803,NA,trans,7.73E-08
ILMN_1757636,ILMN_1721765,-0.019,0.425,C5ORF35,LOC150763,-0.644,0.163,0.999,0.278,0.201,5,2,56210793,96052670,NA,trans,7.79E-08
ILMN_1671171,ILMN_1815205,-0.005,0.82,CECR2,LYZ,0.557,0.141,0.455,0.921,0.161,22,12,16412831,68032310,NA,trans,7.80E-08
ILMN_2120982,ILMN_1745103,-0.007,0.775,ALG11,CLEC1B,0.47,0.119,0.999,0.418,0.155,13,12,51501736,10147744,NA,trans,7.83E-08
ILMN_1676528,ILMN_2077504,0.026,0.275,BTN3A2,RNF160,0.383,0.097,0.999,0.999,0.095,6,21,26378113,29222700,NA,trans,7.87E-08
ILMN_1800354,ILMN_1765332,0.039,0.101,CST3,TIMM10,0.461,0.117,0.54,0.999,0.132,20,11,23614554,57296016,NA,trans,8.14E-08
ILMN_2191681,ILMN_1704291,-0.365,0,CHCHD2,LOC645317,-0.658,0.167,0.754,0.512,0.119,7,1,56169372,15803612,NA,trans,8.14E-08
ILMN_1753164,ILMN_1813590,-0.015,0.531,IPO8,KIAA1026,-0.772,0.196,0.999,0.252,0.224,12,1,30782258,14798152,NA,trans,8.19E-08
ILMN_2208495,ILMN_2045975,0.006,0.814,LASS5,ORMDL1,-0.575,0.146,0.927,0.403,0.172,12,2,48810125,190343639,NA,trans,8.20E-08
ILMN_1791585,ILMN_1694539,-0.003,0.896,LOC653353,MAP3K6,-0.953,0.242,0.388,0.272,0.383,9,1,42706969,27681790,NA,trans,8.22E-08
ILMN_2064132,ILMN_1696463,-0.036,0.135,NANP,SPI1,-0.571,0.145,0.473,0.906,0.154,20,11,25543104,47376454,NA,trans,8.22E-08
ILMN_1706268,ILMN_2395981,0.46,0,PTGDR,PYHIN1,1,0.254,0.318,0.302,0.223,14,1,51812612,157181386,NA,trans,8.25E-08
ILMN_1668277,ILMN_1715680,-0.058,0.015,BLK,NEIL2,-0.944,0.24,0.358,0.682,0.237,8,8,11420520,11681958,261438,cis,8.38E-08
ILMN_2327276,ILMN_1668540,0.225,0,STAU1,ZNHIT6,0.94,0.239,0.391,0.324,0.271,20,1,47730151,86118751,NA,trans,8.39E-08
ILMN_1749368,ILMN_1810274,0.014,0.548,HIST1H3H,HOXB2,-0.794,0.202,0.267,0.999,0.227,6,17,27777958,46620338,NA,trans,8.47E-08
ILMN_2307025,ILMN_1783120,-0.067,0.005,CPNE1,SLMAP,-0.597,0.152,0.999,0.318,0.176,20,3,34214540,57888082,NA,trans,8.58E-08
ILMN_1676924,ILMN_1740633,0.563,0,CD247,PRF1,0.856,0.218,0.668,0.287,0.123,1,10,165666606,72357383,NA,trans,8.62E-08
ILMN_2050023,ILMN_1839665,0.027,0.256,CCDC23,HS.559665,0.53,0.135,0.978,0.463,0.149,1,1,43045619,65286682,22241063,cis,8.64E-08
ILMN_1823231,ILMN_1793549,0.409,0,HS.571502,PTPN4,0.793,0.202,0.468,0.375,0.168,8,2,60195858,120451383,NA,trans,8.65E-08
ILMN_1815306,ILMN_1671686,0.341,0,AP2A1,EPB49,1,0.255,0.516,0.258,0.231,19,8,50310094,21995783,NA,trans,8.80E-08
ILMN_1676880,ILMN_2238928,0.011,0.631,CORO2B,RAD51C,0.811,0.207,0.294,0.999,0.213,15,17,66806937,54153148,NA,trans,8.93E-08
ILMN_2225144,ILMN_1741371,0.047,0.049,EIF4E3,TMEM8,0.939,0.24,0.305,0.627,0.27,3,16,71814976,362151,NA,trans,9.13E-08
ILMN_2352023,ILMN_2310703,-0.022,0.362,RIPK5,RPS26L,0.395,0.101,0.999,0.924,0.103,1,13,203378372,99990206,NA,trans,9.20E-08
ILMN_1753164,ILMN_1654663,0.016,0.492,IPO8,LOC642843,0.7,0.179,0.999,0.292,0.201,12,17,30782258,68759023,NA,trans,9.21E-08
ILMN_2370872,ILMN_1793549,-0.041,0.083,GRINA,PTPN4,-0.563,0.144,0.999,0.375,0.164,8,2,145067435,120451383,NA,trans,9.24E-08
ILMN_1713892,ILMN_1791912,0.236,0,C4ORF34,SIDT2,0.617,0.158,0.621,0.839,0.117,4,11,39553200,116573261,NA,trans,9.42E-08
ILMN_1753164,ILMN_1772286,0.005,0.84,IPO8,OCIAD2,-0.492,0.126,0.999,0.385,0.163,12,4,30782258,48887559,NA,trans,9.43E-08
ILMN_2120982,ILMN_1719064,-0.014,0.548,ALG11,KCTD10,-0.406,0.104,0.999,0.999,0.097,13,12,51501736,109886624,NA,trans,9.47E-08
ILMN_1721762,ILMN_1741165,0.145,0,IL18RAP,SLC11A1,0.445,0.114,0.999,0.406,0.139,2,2,102435293,218968130,116532837,cis,9.48E-08
ILMN_1765332,ILMN_2397230,0.019,0.433,TIMM10,USP16,0.519,0.133,0.999,0.416,0.156,11,21,57296016,29348045,NA,trans,9.53E-08
ILMN_1697499,ILMN_2374692,0.024,0.322,HLA-DRB5,WAC,0.398,0.102,0.748,0.787,0.125,6,10,32593374,28949297,NA,trans,9.54E-08
ILMN_1849794,ILMN_1762103,-0.01,0.666,HS.571223,WDR48,-0.874,0.224,0.326,0.999,0.208,7,3,138759275,39111969,NA,trans,9.55E-08
ILMN_2105573,ILMN_1716276,0.449,0,CCL3L3,CCL4L2,0.948,0.243,0.434,0.265,0.203,17,17,34522555,31664916,2857639,cis,9.57E-08
ILMN_2077504,ILMN_1774869,-0.033,0.162,RNF160,SLC30A8,-0.503,0.129,0.999,0.395,0.157,21,8,29222700,118188726,NA,trans,9.65E-08
ILMN_1778347,ILMN_2104967,0.01,0.683,NUDT2,ZNF443,0.639,0.164,0.96,0.334,0.188,9,19,34333384,12401770,NA,trans,9.77E-08
ILMN_1859946,ILMN_1823231,0.171,0,HS.127310,HS.571502,0.946,0.243,0.288,0.468,0.281,1,8,160765587,60195858,NA,trans,9.90E-08
ILMN_1743145,ILMN_2180866,-0.039,0.099,ERAP2,RPS26P11,-0.393,0.101,0.999,0.929,0.098,5,X,96274820,71181176,NA,trans,9.98E-08
ILMN_1757636,ILMN_1661432,-0.009,0.705,C5ORF35,NUP43,-0.393,0.101,0.999,0.918,0.101,5,6,56210793,150087211,NA,trans,9.98E-08
ILMN_2319000,ILMN_1793549,0.595,0,MATK,PTPN4,1,0.257,0.308,0.375,0.152,19,2,3777979,120451383,NA,trans,9.98E-08
ILMN_1724437,ILMN_1757467,0.39,0,GCAT,H1F0,0.76,0.196,0.446,0.738,0.125,22,22,36542575,36533168,9407,cis,1.06E-07
ILMN_1703926,ILMN_1785570,-0.21,0,PTGER2,SUSD3,-1,0.258,0.31,0.29,0.337,14,9,51864520,94886967,NA,trans,1.06E-07
ILMN_1676924,ILMN_2055781,0.501,0,CD247,KLRF1,0.593,0.153,0.668,0.507,0.11,1,12,165666606,9888803,NA,trans,1.06E-07
ILMN_1776188,ILMN_1726204,0.029,0.222,MAP1LC3A,SCRG1,0.558,0.144,0.652,0.799,0.14,20,4,32611733,174549060,NA,trans,1.07E-07
ILMN_1734707,ILMN_1796712,-0.004,0.859,CHST13,S100A10,-0.585,0.151,0.999,0.309,0.188,3,1,126262040,150222202,NA,trans,1.07E-07
ILMN_1753164,ILMN_1766245,0.016,0.51,IPO8,SUPT4H1,-0.635,0.164,0.999,0.298,0.199,12,17,30782258,56422817,NA,trans,1.08E-07
ILMN_1666192,ILMN_1727932,-0.016,0.498,DCTN5,LOC643479,-0.751,0.194,0.962,0.333,0.197,16,10,23588370,45632662,NA,trans,1.08E-07
ILMN_1742026,ILMN_2395981,0.69,0,PYHIN1,PYHIN1,0.72,0.186,0.378,0.302,0.135,1,1,157181319,157181386,67,cis,1.08E-07
ILMN_2060413,ILMN_1782551,0.36,0,CD24,E2F5,0.847,0.219,0.405,0.3,0.22,Y,8,21152795,86124431,NA,trans,1.10E-07
ILMN_1662409,ILMN_2209027,-0.012,0.602,LOC440525,RPS26,-0.785,0.203,0.262,0.946,0.228,19,12,45141091,54722494,NA,trans,1.10E-07
ILMN_2151541,ILMN_2050911,-0.089,0,DNAJC10,SLC22A4,-0.812,0.21,0.283,0.506,0.281,2,5,183351215,131670507,NA,trans,1.10E-07
ILMN_2144088,ILMN_2201966,0.025,0.296,FDFT1,N4BP1,0.371,0.096,0.999,0.836,0.104,8,16,11696361,48572789,NA,trans,1.11E-07
ILMN_1715963,ILMN_2208495,0.006,0.789,FBXO7,LASS5,-0.537,0.139,0.431,0.927,0.163,22,12,31201300,48810125,NA,trans,1.12E-07
ILMN_1743145,ILMN_1778360,0.023,0.342,ERAP2,PYGB,0.39,0.101,0.999,0.999,0.096,5,20,96274820,25226301,NA,trans,1.13E-07
ILMN_2055781,ILMN_2193325,0.526,0,KLRF1,MMP23B,1,0.259,0.507,0.293,0.157,12,1,9888803,1559849,NA,trans,1.13E-07
ILMN_2193233,ILMN_2403965,0.731,0,MGC29506,TXNDC5,1,0.259,0.275,0.281,0.124,5,6,138751302,7828450,NA,trans,1.13E-07
ILMN_1792075,ILMN_1669881,0.391,0,CD22,TSPAN13,0.995,0.258,0.278,0.342,0.252,19,7,40529826,16789855,NA,trans,1.15E-07
ILMN_2366212,ILMN_1785175,0.584,0,CD79B,SWAP70,0.887,0.23,0.281,0.295,0.179,17,11,62006098,9729342,NA,trans,1.15E-07
ILMN_1804895,ILMN_1774375,-0.013,0.6,C7ORF53,LOC284422,-0.829,0.215,0.25,0.444,0.348,7,19,111917760,3425613,NA,trans,1.15E-07
ILMN_1798177,ILMN_2041190,0.049,0.04,CHURC1,F2RL1,-0.397,0.103,0.999,0.786,0.114,14,5,64471249,76166727,NA,trans,1.16E-07
ILMN_1757636,ILMN_1742843,-0.035,0.142,C5ORF35,LOC132706,-0.393,0.102,0.999,0.3,0.173,5,4,56210793,111392662,NA,trans,1.17E-07
ILMN_1810274,ILMN_1759097,0.053,0.027,HOXB2,MLLT11,0.593,0.154,0.999,0.345,0.171,17,1,46620338,149307256,NA,trans,1.18E-07
ILMN_2180866,ILMN_1674574,0.02,0.399,RPS26P11,VNN1,0.427,0.111,0.929,0.574,0.133,X,6,71181176,133045136,NA,trans,1.20E-07
ILMN_1786606,ILMN_1750273,0.497,0,LOC729764,RPL23AP7,1,0.26,0.541,0.273,0.167,5,2,180834008,114099751,NA,trans,1.20E-07
ILMN_1659227,ILMN_1782551,0.605,0,CD79A,E2F5,1,0.26,0.315,0.3,0.164,19,8,42383286,86124431,NA,trans,1.20E-07
ILMN_1757636,ILMN_1754501,0.008,0.738,C5ORF35,LOC339804,-0.392,0.102,0.999,0.944,0.101,5,2,56210793,61243769,NA,trans,1.21E-07
