probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1715169,ILMN_1697499,0.576,0,HLA-DRB1,HLA-DRB5,0.782,0.095,0.816,0.748,0.068,6,6,32654825,32593374,61451,cis,1.85E-19
ILMN_2312606,ILMN_1670576,0.771,0,IRF5,IRF5,1,0.122,0.547,0.512,0.055,7,7,127973722,128376806,403084,cis,2.47E-19
ILMN_1676528,ILMN_1785202,0.153,0,BTN3A2,STAT4,-0.557,0.068,0.999,0.377,0.191,6,2,26378113,191895713,NA,trans,2.59E-19
ILMN_2365465,ILMN_1809433,0.704,0,XBP1,XBP1,0.988,0.121,0.459,0.33,0.097,22,22,29191092,27520966,1670126,cis,3.21E-19
ILMN_1737195,ILMN_1812433,0.014,0.546,CENPK,HP,0.587,0.072,0.999,0.603,0.133,5,16,64853096,70652001,NA,trans,3.56E-19
ILMN_1676528,ILMN_1782178,-0.001,0.968,BTN3A2,LOC642946,0.574,0.071,0.999,0.999,0.104,6,1,26378113,211096907,NA,trans,6.24E-19
ILMN_1743145,ILMN_1697227,0.006,0.797,ERAP2,USP36,0.585,0.073,0.999,0.609,0.134,5,17,96274820,74295253,NA,trans,1.11E-18
ILMN_1661266,ILMN_1715169,-0.487,0,HLA-DQB1,HLA-DRB1,-0.911,0.114,0.718,0.816,0.083,6,6,32736001,32654825,81176,cis,1.34E-18
ILMN_1700067,ILMN_1651496,0.077,0.001,BTN3A2,HIST1H2BD,0.569,0.072,0.999,0.8,0.109,6,6,26368410,26171304,197106,cis,2.73E-18
ILMN_1687213,ILMN_2144088,0.077,0.001,C8ORF13,FDFT1,0.56,0.071,0.911,0.999,0.102,8,8,11316511,11696361,379850,cis,3.09E-18
ILMN_2313901,ILMN_2399463,0.04,0.094,PAM,VAV3,0.575,0.073,0.999,0.653,0.125,5,1,102340879,108114542,NA,trans,3.36E-18
ILMN_1743145,ILMN_2376625,-0.029,0.221,ERAP2,VHL,-0.577,0.074,0.999,0.614,0.13,5,3,96274820,10168638,NA,trans,6.32E-18
ILMN_1870303,ILMN_1800733,-0.176,0,HS.570838,MANBA,-1,0.131,0.77,0.775,0.136,4,4,103983901,103771985,211916,cis,2.28E-17
ILMN_2313901,ILMN_2374692,0.055,0.021,PAM,WAC,0.561,0.074,0.999,0.787,0.112,5,10,102340879,28949297,NA,trans,3.43E-17
ILMN_2377669,ILMN_1676924,0.832,0,CD247,CD247,1,0.132,0.319,0.668,0.047,1,1,165666584,165666606,22,cis,3.57E-17
